event_id,user_id,event_type,event_date,product_id,amount,traffic_source
8490,5024,page_view,2025-12-30 04:58:24.517006,205,,social
2296,1713,page_view,2025-12-30 05:10:26.276377,201,,organic
3896,2558,page_view,2025-12-30 05:11:09.001887,404,,organic
2297,1713,add_to_cart,2025-12-30 05:13:26.276377,201,,organic
2298,1713,checkout_start,2025-12-30 05:16:26.276377,201,,organic
8438,4993,page_view,2025-12-30 05:20:55.416929,205,,organic
2299,1713,payment_info,2025-12-30 05:23:26.276377,201,,organic
2300,1713,purchase,2025-12-30 05:25:26.276377,201,48.3,organic
8649,5102,page_view,2025-12-30 05:25:27.600119,102,,organic
3897,2558,add_to_cart,2025-12-30 05:29:09.001887,404,,organic
2101,1591,page_view,2025-12-30 05:42:46.668786,305,,organic
3368,2276,page_view,2025-12-30 05:48:25.516521,201,,organic
8335,4942,page_view,2025-12-30 06:01:39.005440,205,,organic
3369,2276,add_to_cart,2025-12-30 06:03:25.516521,201,,organic
7020,4279,page_view,2025-12-30 06:27:01.633422,101,,social
3889,2554,page_view,2025-12-30 06:27:29.959133,102,,paid_ads
2547,1850,page_view,2025-12-30 06:28:28.075497,205,,organic
2548,1850,add_to_cart,2025-12-30 06:46:28.075497,205,,organic
2549,1850,checkout_start,2025-12-30 06:49:28.075497,205,,organic
2550,1850,payment_info,2025-12-30 06:56:28.075497,205,,organic
1900,1485,page_view,2025-12-30 06:59:50.708281,305,,organic
2551,1850,purchase,2025-12-30 07:01:28.075497,205,180.27,organic
1901,1485,add_to_cart,2025-12-30 07:08:50.708281,305,,organic
8557,5063,page_view,2025-12-30 07:11:55.927614,205,,social
1902,1485,checkout_start,2025-12-30 07:13:50.708281,305,,organic
1903,1485,payment_info,2025-12-30 07:15:50.708281,305,,organic
8558,5063,add_to_cart,2025-12-30 07:29:55.927614,205,,social
9089,5330,page_view,2025-12-30 07:32:58.520639,102,,social
7876,4694,page_view,2025-12-30 07:48:02.075362,404,,paid_ads
1865,1463,page_view,2025-12-30 07:53:43.881717,101,,social
7877,4694,add_to_cart,2025-12-30 07:57:02.075362,404,,paid_ads
10115,5855,page_view,2025-12-30 08:03:55.201474,201,,organic
7878,4694,checkout_start,2025-12-30 08:04:02.075362,404,,paid_ads
7879,4694,payment_info,2025-12-30 08:06:02.075362,404,,paid_ads
7880,4694,purchase,2025-12-30 08:11:02.075362,404,40.96,paid_ads
3329,2265,page_view,2025-12-30 08:11:49.354255,404,,organic
10116,5855,add_to_cart,2025-12-30 08:11:55.201474,201,,organic
9219,5405,page_view,2025-12-30 08:14:09.635894,101,,organic
7343,4431,page_view,2025-12-30 08:16:15.732931,101,,email
2487,1819,page_view,2025-12-30 08:17:41.034633,201,,social
3615,2415,page_view,2025-12-30 08:21:52.671194,404,,email
8996,5285,page_view,2025-12-30 08:23:42.525239,102,,social
7344,4431,add_to_cart,2025-12-30 08:24:15.732931,101,,email
1926,1501,page_view,2025-12-30 08:25:50.792059,102,,paid_ads
7345,4431,checkout_start,2025-12-30 08:31:15.732931,101,,email
9048,5309,page_view,2025-12-30 08:31:40.055957,101,,paid_ads
3616,2415,add_to_cart,2025-12-30 08:31:52.671194,404,,email
3617,2415,checkout_start,2025-12-30 08:33:52.671194,404,,email
7346,4431,payment_info,2025-12-30 08:38:15.732931,101,,email
7347,4431,purchase,2025-12-30 08:41:15.732931,101,125.38,email
3618,2415,payment_info,2025-12-30 08:41:52.671194,404,,email
8205,4871,page_view,2025-12-30 08:45:49.157923,305,,paid_ads
3619,2415,purchase,2025-12-30 08:46:52.671194,404,112.42,email
1818,1443,page_view,2025-12-30 08:55:48.602549,305,,organic
3568,2390,page_view,2025-12-30 08:59:35.934418,102,,organic
8206,4871,add_to_cart,2025-12-30 09:05:49.157923,305,,paid_ads
8207,4871,checkout_start,2025-12-30 09:14:49.157923,305,,paid_ads
8208,4871,payment_info,2025-12-30 09:22:49.157923,305,,paid_ads
8209,4871,purchase,2025-12-30 09:26:49.157923,305,46.08,paid_ads
4553,2903,page_view,2025-12-30 09:42:45.083935,305,,social
3488,2348,page_view,2025-12-30 09:59:22.449759,404,,social
6947,4233,page_view,2025-12-30 10:19:33.753469,305,,organic
3417,2310,page_view,2025-12-30 10:26:01.371593,101,,organic
3418,2310,add_to_cart,2025-12-30 10:30:01.371593,101,,organic
3419,2310,checkout_start,2025-12-30 10:31:01.371593,101,,organic
3926,2574,page_view,2025-12-30 10:42:14.454006,205,,social
7118,4328,page_view,2025-12-30 10:53:49.852533,101,,social
5251,3289,page_view,2025-12-30 11:04:37.656267,205,,social
